Time,P_CC,OxyMass,Thrust,P_Tank
10.4,287.1528644,0.645688212,831.3604435,406.5991254
10.45,285.3998664,0.657090608,767.145904,402.2848094
10.5,283.5494804,0.668636792,736.6824472,398.1716504
10.55,282.3808144,0.65421302,696.4754493,394.1791844
10.6,280.2382614,0.646443896,655.8442468,389.9242574
10.65,279.0695964,0.645220559,620.2240042,385.0179694
10.7,277.9009304,0.638890229,584.7363275,380.6825804
10.75,275.8557664,0.637595224,548.6123373,375.5329894
10.8,273.1288804,0.625113732,518.4802907,371.0769074
10.85,272.5445484,0.623459029,484.384551,366.1993564
10.9,269.0385524,0.607920328,461.5700977,360.9022514
10.95,267.3829434,0.599215897,442.7988762,355.6357984
11,266.3116664,0.576338985,427.7129693,350.1624424
11.05,265.2403904,0.57533201,410.3071734,345.0549994
11.1,263.3900034,0.558785881,400.6034082,339.7847154
11.15,262.3187264,0.539866106,386.7238408,333.9837624
11.2,259.9813964,0.524795058,377.5238232,329.3667564
11.25,258.7153424,0.532312438,370.6171832,323.6386034
11.3,256.0858454,0.504040502,359.9456943,318.8108624
11.35,253.4563484,0.489940595,345.8142554,313.0501424
11.4,251.8981284,0.479005853,341.3335545,308.7454064
11.45,249.8529634,0.463826396,331.7756108,304.1743794
11.5,248.5869094,0.470552712,325.1340981,299.3102394
11.55,247.1260784,0.432425129,316.331778,295.0265774
11.6,244.3991924,0.435050973,306.8666286,290.1509424
11.65,243.5226934,0.41958394,300.2648874,286.6987254
11.7,242.7435834,0.406203429,286.8095335,281.9974254
11.75,239.4323654,0.412857624,277.0792524,277.6639544
11.8,238.2637004,0.375737016,265.8907603,274.1351064
11.85,236.8028684,0.385916527,264.657905,270.0315274
11.9,234.6603154,0.375989213,250.526466,266.8456014
11.95,234.0759834,0.383686669,253.6284901,263.3359114
12,231.5438754,0.378506648,244.5875497,260.0197134
12.05,231.1543204,0.389693588,240.7564179,256.5828224
12.1,227.9404904,0.37954991,227.1684981,253.1689204
12.15,229.2065444,0.384693643,221.5875077,250.8048604
12.2,226.6744364,0.407066615,220.076265,248.0557314
12.25,225.6031604,0.472099461,217.1863454,246.8526274
12.3,224.8240504,0.497709719,209.1794115,246.0805724
12.35,223.7527734,0.575619588,211.3269677,245.6016304
12.4,223.1684414,0.60295667,208.9938229,245.9368894
12.45,221.2206654,0.596769676,215.052045,247.0231314
12.5,220.4415554,0.590475179,213.5010352,247.5231474
12.55,219.6624454,0.607524795,221.4814533,247.8967224
12.6,218.3963914,0.608172071,217.5972987,247.6495884
12.65,217.3251154,0.652738392,218.8434097,247.2970864
12.7,215.9616724,0.610546172,217.6768373,246.1993504
12.75,215.4747284,0.670938771,221.2560931,244.9177004
12.8,214.5008404,0.646084198,219.1748199,244.2433494
12.85,213.0400094,0.587129938,210.7967087,242.1724024
12.9,211.6765664,0.605870092,209.749442,240.2374744
12.95,211.2870114,0.587345848,209.6036205,238.7508374
13,208.7549034,0.590654802,203.2007281,236.5706914
13.05,208.3653484,0.56641167,197.9246365,233.9403394
13.1,207.2940724,0.558246561,190.4612217,232.5245864
13.15,206.5149624,0.580079758,188.9367233,230.3865874
13.2,205.2489084,0.521233907,184.2306622,228.1374734
13.25,203.3011334,0.520982163,175.7199852,225.7523404
13.3,202.4246344,0.45961797,168.9989339,224.2350504
13.35,201.2559684,0.506666346,168.4156477,222.3135334
13.4,199.7951374,0.476667586,163.2190947,220.0011994
13.45,199.6977484,0.478322289,161.5487748,219.0854614
13.5,198.8212494,0.49310576,161.137826,217.5509304
13.55,197.2630294,0.519255339,159.0432971,215.7060444
13.6,195.5100314,0.474581516,164.0277411,213.9761044
13.65,194.4387554,0.50181019,164.5447488,211.9338934
13.7,194.1465894,0.453862794,165.6185224,209.6483804
13.75,192.8805354,0.460373654,164.770109,207.9299354
13.8,191.9066474,0.374082766,162.8081459,206.2593844
13.85,190.3484274,0.396995058,160.819667,204.7286844
13.9,189.3745394,0.378686724,155.9015015,203.1098594
13.95,189.3745394,0.370377826,152.7597103,202.0389444
14,188.3032634,0.379118544,150.5193599,200.8626614
14.05,188.0110974,0.356709285,145.8795818,198.8894184
14.1,186.4528774,0.346853638,144.328572,198.7169994
14.15,186.1607104,0.333401006,141.2530593,198.2323094
14.2,184.8946564,0.276857135,141.0144434,198.0656374
14.25,185.3816004,0.202580084,141.7700626,197.7188834
14.3,184.0181584,0.37419072,146.5424066,197.6480004
14.35,183.1416594,0.177689223,150.6121542,197.3893714
14.4,182.1677714,0.281281471,156.3787377,197.2016254
14.45,182.5573264,0.190674201,165.8571427,197.1958784
14.5,181.4860504,0.144489464,174.3015368,196.8740294
14.55,180.7069404,0.207184043,177.3240222,196.4966224
14.6,180.9991064,0.111289251,181.5263357,196.5464324
14.65,180.4147734,0.127979168,185.0923358,195.8835764
14.7,179.8304414,0.070212413,179.3522682,195.1402574
14.75,179.5382754,0.122404069,182.0963662,194.3758654
14.8,180.0252184,0.057515012,175.2692649,193.2915404
14.85,178.5643874,0.044242456,180.2669646,192.6804094
14.9,178.1748324,0.085643159,190.4214546,191.5520214
14.95,177.2983334,0.01100641,190.2093501,190.3106024
15,176.5192234,0.05996078,197.7257877,189.0327844
15.05,176.3244464,0.025969956,206.2099533,188.0614894
15.1,175.6427244,0.029566941,205.1096639,186.3909384
15.15,175.4479474,0.067694524,207.8935334,184.8966384
15.2,173.4027834,0.031653011,205.4941058,182.4482844
15.25,173.6949494,0.062191092,195.0612328,181.6743144
15.3,173.0132284,0.062083137,186.5107842,179.2738544
15.35,172.6236734,0.072730302,182.825474,177.3408434
15.4,171.9419514,0.059061761,169.7412973,175.9097634
15.45,170.7732864,0.055644852,159.2554015,174.2028134
15.5,169.6046214,0.043702682,149.4986091,172.6165564
15.55,170.2863424,0.051903625,144.7395208,170.7525124
15.6,168.5333454,0.043810637,134.9297055,168.7256284
15.65,167.6568464,0.03632909,128.6858903,166.4516104
15.7,167.3646804,0.030286338,124.4968325,164.8538584
15.75,165.9038484,0.051651882,121.3948085,162.8978574
15.8,166.3907924,0.042192221,118.6507105,161.5050934
15.85,164.6377944,0.054853334,113.8385994,160.0548564
15.9,164.6377944,0.060536388,111.5982489,158.0164774
15.95,163.8586844,0.041724567,109.1855655,155.6141024
16,162.0082984,0.056723948,105.4737439,153.4895144
16.05,162.7874084,0.058594107,100.8207056,152.4147674
16.1,162.5926314,0.070428323,98.40802222,151.4492204
16.15,161.5213544,0.071111432,96.5255978,149.6215764
16.2,161.1317994,0.072370604,92.05815704,147.8973834
16.25,160.3526894,0.078557145,89.3670818,146.3973364
16.3,160.4500784,0.087945139,86.53018946,144.9969094
16.35,159.2814134,0.10747681,84.28983901,143.6788594
16.4,160.1579124,0.105066876,82.93767799,142.4795884
16.45,158.6970804,0.123483165,80.32614582,140.8703414
16.5,159.2814134,0.126109009,78.03276814,139.1729704
16.55,158.5996924,0.130173647,77.15783885,137.4526094
16.6,158.3075254,0.127943335,77.09155592,136.1288124
16.65,156.9440834,0.144201433,74.97051563,134.1210864
16.7,157.9179704,0.119202617,73.7774274,132.4045574
16.75,157.0414714,0.135928368,71.93477451,130.5060304
16.8,156.3597504,0.1255334,71.85523589,128.3431264
16.85,157.3336384,0.124526426,68.20969719,126.4714204
16.9,156.1649734,0.119742391,65.43908333,124.3142634
16.95,155.7754184,0.118375265,63.39758165,122.1168764
17,156.4571394,0.116864804,60.99815396,120.6359874
17.05,154.9963084,0.119922014,59.75204295,118.4941574
17.1,154.2171974,0.111864859,56.05347702,117.0745724
17.15,154.1198094,0.109850911,52.07652369,117.0688244
17.2,152.3668114,0.104383313,48.88170533,117.3274534
17.25,153.7302544,0.101110193,45.64711543,116.5075044
17.3,152.6589774,0.097800785,41.378519,116.3370004
17.35,152.1720344,0.088053093,38.47534374,116.0208994
17.4,150.9059804,0.08549937,34.32605747,115.5745244
17.45,151.0033694,0.079600406,31.15775495,114.8522794
17.5,150.2242584,0.077873582,26.27935649,113.7813644
17.55,149.9320924,0.067010961,21.93122144,112.9575844
17.6,148.6660384,0.058342364,18.96176324,111.8272804
17.65,148.6660384,0.044781777,16.39000261,110.5226414
17.7,147.5947624,0.042803663,12.90354115,108.9727844
17.75,147.1078184,0.032516196,11.12716674,107.7179554
17.8,146.4260974,0.023452067,8.157708546,106.4171484
17.85,145.4522094,0.011438229,5.426870668,105.1661504
17.9,145.7443764,0.004927823,4.140988127,103.7906284
17.95,145.1600434,0,2.89487712,102.6890614
