Temperature (C)	Pressure (psia)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/psia)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/psia)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
6.2676	530.00	873.70	0.0011446	175.58	179.76	0.76406	0.91415	2.4360	512.32	0.0062849	undefined	undefined	0.0039530	102.65	0.0097422	360.06	395.66	1.5367	0.90547	1.9472	207.73	0.17440	undefined	undefined
7.0295	540.00	869.42	0.0011502	177.26	181.54	0.77014	0.91465	2.4604	506.53	0.0065608	undefined	undefined	0.0038274	105.02	0.0095217	359.81	395.26	1.5329	0.90900	1.9817	207.28	0.17323	undefined	undefined
7.7810	550.00	865.14	0.0011559	178.92	183.30	0.77615	0.91518	2.4855	500.79	0.0068436	undefined	undefined	0.0037042	107.43	0.0093085	359.55	394.84	1.5291	0.91254	2.0175	206.83	0.17209	undefined	undefined
8.5225	560.00	860.87	0.0011616	180.57	185.06	0.78211	0.91573	2.5117	495.07	0.0071338	undefined	undefined	0.0035836	109.86	0.0091022	359.27	394.41	1.5254	0.91607	2.0546	206.38	0.17096	undefined	undefined
9.2543	570.00	856.59	0.0011674	182.22	186.81	0.78801	0.91632	2.5388	489.39	0.0074317	undefined	undefined	0.0034653	112.33	0.0089024	358.98	393.97	1.5216	0.91961	2.0932	205.92	0.16984	undefined	undefined
9.9767	580.00	852.31	0.0011733	183.85	188.54	0.79387	0.91694	2.5669	483.74	0.0077376	undefined	undefined	0.0033494	114.83	0.0087088	358.68	393.51	1.5178	0.92315	2.1332	205.47	0.16874	undefined	undefined
10.690	590.00	848.02	0.0011792	185.47	190.27	0.79967	0.91759	2.5962	478.11	0.0080518	undefined	undefined	0.0032358	117.36	0.0085211	358.37	393.03	1.5140	0.92670	2.1749	205.01	0.16766	undefined	undefined
11.394	600.00	843.73	0.0011852	187.09	191.99	0.80544	0.91828	2.6266	472.51	0.0083749	undefined	undefined	0.0031244	119.92	0.0083388	358.04	392.54	1.5102	0.93026	2.2184	204.54	0.16658	undefined	undefined
12.089	610.00	839.43	0.0011913	188.69	193.70	0.81116	0.91900	2.6583	466.94	0.0087071	undefined	undefined	0.0030152	122.52	0.0081619	357.70	392.03	1.5065	0.93383	2.2637	204.08	0.16551	undefined	undefined
12.776	620.00	835.12	0.0011974	190.29	195.41	0.81685	0.91976	2.6914	461.38	0.0090491	undefined	undefined	0.0029081	125.16	0.0079900	357.35	391.50	1.5027	0.93741	2.3111	203.61	0.16446	undefined	undefined
13.455	630.00	830.80	0.0012037	191.88	197.11	0.82249	0.92055	2.7260	455.84	0.0094012	undefined	undefined	0.0028031	127.83	0.0078228	356.98	390.96	1.4989	0.94101	2.3605	203.14	0.16340	undefined	undefined
14.126	640.00	826.46	0.0012100	193.46	198.80	0.82811	0.92139	2.7621	450.31	0.0097639	undefined	undefined	0.0027001	130.55	0.0076601	356.60	390.40	1.4951	0.94463	2.4123	202.67	0.16236	undefined	undefined
14.789	650.00	822.11	0.0012164	195.04	200.49	0.83369	0.92226	2.7999	444.80	0.010138	undefined	undefined	0.0025991	133.30	0.0075017	356.21	389.83	1.4913	0.94826	2.4666	202.19	0.16132	undefined	undefined
15.444	660.00	817.74	0.0012229	196.61	202.18	0.83925	0.92318	2.8396	439.30	0.010524	undefined	undefined	0.0025001	136.10	0.0073474	355.80	389.23	1.4874	0.95192	2.5235	201.72	0.16029	undefined	undefined
16.092	670.00	813.35	0.0012295	198.18	203.86	0.84478	0.92414	2.8812	433.81	0.010922	undefined	undefined	0.0024029	138.95	0.0071970	355.37	388.62	1.4836	0.95560	2.5833	201.24	0.15926	undefined	undefined
16.732	680.00	808.93	0.0012362	199.74	205.54	0.85029	0.92515	2.9249	428.32	0.011333	undefined	undefined	0.0023077	141.84	0.0070502	354.94	387.99	1.4797	0.95930	2.6463	200.76	0.15823	undefined	undefined
17.366	690.00	804.49	0.0012430	201.30	207.22	0.85577	0.92621	2.9709	422.84	0.011758	undefined	undefined	0.0022143	144.78	0.0069070	354.48	387.34	1.4758	0.96304	2.7127	200.27	0.15720	undefined	undefined
17.992	700.00	800.01	0.0012500	202.86	208.89	0.86124	0.92732	3.0194	417.37	0.012198	undefined	undefined	0.0021228	147.77	0.0067671	354.01	386.67	1.4719	0.96680	2.7827	199.79	0.15617	undefined	undefined
18.612	710.00	795.51	0.0012571	204.42	210.57	0.86670	0.92848	3.0707	411.89	0.012653	undefined	undefined	0.0020330	150.82	0.0066304	353.52	385.98	1.4679	0.97060	2.8568	199.30	0.15513	undefined	undefined
19.225	720.00	790.97	0.0012643	205.97	212.25	0.87214	0.92970	3.1249	406.41	0.013125	undefined	undefined	0.0019450	153.92	0.0064967	353.01	385.27	1.4639	0.97443	2.9353	198.81	0.15410	undefined	undefined
19.831	730.00	786.40	0.0012716	207.52	213.92	0.87758	0.93099	3.1824	400.93	0.013614	undefined	undefined	0.0018587	157.09	0.0063659	352.49	384.53	1.4599	0.97830	3.0185	198.32	0.15306	undefined	undefined
20.431	740.00	781.78	0.0012791	209.08	215.60	0.88301	0.93233	3.2435	395.43	0.014122	undefined	undefined	0.0017741	160.31	0.0062378	351.95	383.77	1.4558	0.98222	3.1071	197.83	0.15201	undefined	undefined
21.025	750.00	777.11	0.0012868	210.63	217.29	0.88843	0.93375	3.3085	389.93	0.014649	undefined	undefined	0.0016913	163.61	0.0061122	351.38	382.99	1.4517	0.98618	3.2014	197.33	0.15095	undefined	undefined
21.612	760.00	772.40	0.0012947	212.19	218.97	0.89386	0.93524	3.3779	384.42	0.015197	undefined	undefined	0.0016101	166.97	0.0059891	350.80	382.18	1.4476	0.99018	3.3022	196.83	0.14989	undefined	undefined
22.194	770.00	767.63	0.0013027	213.75	220.67	0.89929	0.93680	3.4521	378.90	0.015768	undefined	undefined	0.0015305	170.41	0.0058684	350.20	381.35	1.4434	0.99425	3.4101	196.33	0.14882	undefined	undefined
22.770	780.00	762.80	0.0013110	215.31	222.37	0.90473	0.93845	3.5317	373.35	0.016362	undefined	undefined	0.0014527	173.92	0.0057498	349.57	380.49	1.4391	0.99836	3.5259	195.82	0.14773	undefined	undefined
23.339	790.00	757.91	0.0013194	216.88	224.07	0.91018	0.94018	3.6172	367.79	0.016982	undefined	undefined	0.0013764	177.52	0.0056332	348.92	379.60	1.4348	1.0025	3.6505	195.32	0.14663	undefined	undefined
23.904	800.00	752.95	0.0013281	218.46	225.78	0.91565	0.94201	3.7095	362.21	0.017629	undefined	undefined	0.0013017	181.21	0.0055186	348.24	378.68	1.4304	1.0068	3.7850	194.81	0.14551	undefined	undefined
24.462	810.00	747.91	0.0013371	220.04	227.51	0.92114	0.94393	3.8094	356.59	0.018306	undefined	undefined	0.0012287	184.99	0.0054057	347.54	377.73	1.4259	1.0111	3.9306	194.30	0.14438	undefined	undefined
25.015	820.00	742.79	0.0013463	221.63	229.24	0.92666	0.94597	3.9179	350.95	0.019014	undefined	undefined	0.0011572	188.87	0.0052945	346.81	376.75	1.4214	1.0155	4.0888	193.79	0.14322	undefined	undefined
25.563	830.00	737.58	0.0013558	223.23	230.99	0.93220	0.94812	4.0361	345.28	0.019757	undefined	undefined	0.0010873	192.87	0.0051849	346.05	375.72	1.4167	1.0199	4.2613	193.27	0.14205	undefined	undefined
26.105	840.00	732.27	0.0013656	224.85	232.76	0.93779	0.95040	4.1655	339.57	0.020536	undefined	undefined	0.0010191	196.98	0.0050767	345.26	374.66	1.4120	1.0245	4.4503	192.75	0.14084	undefined	undefined
26.642	850.00	726.85	0.0013758	226.48	234.54	0.94342	0.95282	4.3079	333.82	0.021356	undefined	undefined	0.00095236	201.22	0.0049698	344.44	373.56	1.4072	1.0291	4.6580	192.23	0.13961	undefined	undefined
27.174	860.00	721.31	0.0013864	228.12	236.34	0.94911	0.95538	4.4652	328.03	0.022220	undefined	undefined	0.00088724	205.59	0.0048640	343.57	372.41	1.4022	1.0339	4.8877	191.70	0.13835	undefined	undefined
27.700	870.00	715.63	0.0013974	229.78	238.16	0.95486	0.95811	4.6401	322.18	0.023131	undefined	undefined	0.00082370	210.12	0.0047592	342.67	371.22	1.3971	1.0387	5.1428	191.17	0.13705	undefined	undefined
28.222	880.00	709.81	0.0014088	231.46	240.01	0.96067	0.96102	4.8357	316.28	0.024095	undefined	undefined	0.00076176	214.81	0.0046553	341.73	369.97	1.3919	1.0437	5.4280	190.64	0.13571	undefined	undefined
28.739	890.00	703.82	0.0014208	233.17	241.89	0.96658	0.96413	5.0561	310.32	0.025117	undefined	undefined	0.00070141	219.68	0.0045520	340.74	368.67	1.3865	1.0488	5.7490	190.11	0.13433	undefined	undefined
29.250	900.00	697.65	0.0014334	234.91	243.80	0.97258	0.96746	5.3062	304.29	0.026203	undefined	undefined	0.00064269	224.75	0.0044493	339.69	367.30	1.3810	1.0541	6.1129	189.57	0.13290	undefined	undefined
